RUTAS,00-01h,01-02h,02-03h,03-04h,04-05h,05-06h,06-07h,07-08h,08-09h,09-10h,10-11h,11-12h,12-13h,13-14h,14-15h,15-16h,16-17h,17-18h,18-19h,19-20h,20-21h,21-22h,22-23h,23-00h,Total
1,317,145,85,60,68,121,493,1474,1751,1604,1416,1475,1501,1596,1867,1608,1282,1461,1592,1632,1443,1039,677,498,25205
2,414,211,127,88,80,116,362,1382,1746,1282,1176,1338,1479,1616,1892,1580,1274,1368,1446,1434,1356,1032,690,565,24054
5,162,83,57,46,63,219,626,1188,1260,1184,1068,1118,1118,1141,1270,1161,957,958,1061,1024,867,633,407,285,17956
6,337,163,108,75,80,160,500,1039,1214,1067,1020,1140,1240,1341,1516,1334,1107,1095,1141,1142,1139,915,663,476,20012
7,284,122,61,49,96,263,654,1389,1508,1394,1211,1253,1254,1375,1534,1420,1175,1233,1332,1377,1281,994,643,450,22352
8,334,135,70,51,100,205,497,1041,1247,1075,1064,1190,1243,1374,1548,1280,1093,1136,1217,1222,1179,937,644,488,20370
9,292,162,100,72,89,185,532,1631,1839,1493,1358,1386,1394,1474,1632,1296,1163,1257,1329,1460,1391,1065,684,465,23749
10,424,239,151,111,109,148,374,966,1014,948,843,877,981,1179,1424,1265,982,1016,1070,1107,1173,980,677,546,18604
11,297,143,77,53,81,199,832,1977,1572,1707,1544,1492,1487,1778,1916,1638,1583,1751,1874,1843,1628,1292,797,463,28024
12,604,283,154,92,79,159,459,1208,1653,1427,1432,1671,1912,2265,2828,2324,1503,1369,1679,1777,1703,1597,1093,812,30083
13,200,115,74,52,48,79,281,790,831,746,629,649,653,688,753,643,623,686,708,733,715,552,353,284,11885
14,180,83,44,32,21,40,133,406,599,498,481,550,615,808,1147,917,551,590,679,705,704,575,334,254,10946
17,219,114,70,53,54,110,336,771,957,842,767,853,930,1028,1294,1060,726,779,867,916,917,683,470,330,15146
18,205,108,65,47,48,127,413,1139,1228,1018,912,969,1000,1066,1144,904,732,855,976,1022,939,733,473,314,16437
21,219,126,89,71,68,91,308,922,1213,1089,956,992,941,919,1067,995,934,1023,1051,1022,968,720,437,328,16549
22,338,183,119,88,78,110,333,913,1153,1021,943,1032,1081,1159,1330,1156,914,978,1049,1062,1048,846,579,467,17980
24,291,182,120,94,91,155,466,1047,1197,952,993,1130,1149,1200,1357,1188,938,996,1058,1085,1059,846,577,446,18617
25,424,244,161,122,113,159,504,1540,1774,1608,1515,1634,1642,1655,1772,1528,1332,1437,1512,1529,1458,1151,773,629,26216
26,537,325,223,161,129,149,393,1248,1714,1514,1488,1645,1714,1770,2047,1814,1428,1490,1591,1593,1552,1239,871,711,27346
30,66,32,20,12,12,15,61,310,513,424,372,403,381,376,454,383,322,349,355,352,312,228,139,106,5997
32,151,72,42,31,22,43,136,323,472,437,380,427,474,548,618,504,399,398,432,458,471,379,263,194,7674
33,118,66,42,34,39,79,260,683,821,768,754,744,693,623,644,535,525,512,536,599,540,416,271,182,10484
34,89,55,40,30,27,35,90,252,376,341,379,406,410,432,485,385,310,307,335,342,313,237,161,115,5952
38,98,50,32,20,25,52,177,479,556,499,460,475,490,524,603,514,420,461,489,500,479,387,244,166,8200
39,142,74,47,34,32,49,175,441,503,437,435,474,509,537,611,527,420,440,480,507,506,413,282,216,8291
42,100,55,31,29,51,132,378,680,683,526,480,519,535,605,696,587,469,479,483,477,463,345,224,156,9183
43,134,69,41,32,44,81,204,578,687,608,544,580,600,653,712,632,532,580,618,637,576,426,280,205,10053
45,171,80,43,36,58,155,511,1429,1557,1248,944,969,1018,1171,1469,1290,1008,1102,1141,1125,987,695,417,273,18897
46,227,111,68,53,61,159,725,1701,1655,1376,1130,1192,1189,1311,1661,1463,1120,1232,1310,1332,1231,885,533,368,22093
47,266,123,73,52,50,104,419,1141,1411,1131,992,1084,1179,1386,1647,1432,1092,1145,1254,1297,1294,941,562,405,20480
50,254,117,65,48,46,144,424,1023,1247,1045,884,964,1062,1289,1674,1463,995,1023,1170,1221,1172,935,644,389,19298
51,182,96,58,41,52,161,484,1141,1207,989,852,917,929,1035,1211,1057,888,935,1003,1035,933,696,437,317,16656
53,670,388,250,188,174,242,635,1583,1442,1207,1052,1079,1343,1742,2049,1880,1531,1624,1756,1838,1924,1607,1118,870,28192
59,259,121,79,60,59,130,491,1307,1558,1098,921,986,1071,1305,1633,1343,965,1054,1169,1194,1215,871,520,385,19794
72,515,289,226,251,417,1080,2766,3377,3291,2859,2614,2828,2931,3163,3308,3028,2561,2580,2623,2542,2406,1972,1349,896,49872
73,464,231,146,114,165,509,1520,2570,2648,2332,2167,2265,2330,2563,2892,2747,2187,2185,2301,2271,2152,1623,1138,769,40289
74,546,294,200,190,268,549,1504,2292,2107,2064,1847,1958,2051,2247,2535,2405,1939,2008,2116,2038,1974,1645,1200,847,36824
78,128,67,39,31,40,84,369,1325,1740,1142,796,772,784,831,1082,934,697,705,746,714,677,489,312,204,14708
83,77,46,28,21,21,43,134,326,394,361,319,344,352,389,430,371,312,311,323,328,309,237,160,115,5751
84,129,67,41,29,30,76,214,644,759,616,536,566,587,652,803,668,486,519,565,595,543,417,277,200,10019
